"New Loan? (Y=1, N=0)",Year of Data,Country,Type of Organization,Year founded,Product financed by Root Capital ,Number of suppliers,"Number of suppliers (with 5,000 member cap)",Country daily minimum wage,Total revenue (US$),Total revenue (US$) - adjusted,Volume of sales (lbs),"Fixed assets (property, plant & eqpmt (PPE)) (US$)",Total assets (US$),Total equity (US$),Total sales of product financed (US$),Export sales for product financed (US$),Export volume for product financed (lbs),% Export sales sold as certified Fairtrade,Amount of RC working capital loan (US$) approved,Amount of RC working capital loan (US$) disbursed,Total working capital debt (US$),Financing from commercial banks? (Y/N),Purchases from rural producers (US$),Purchases from rural producers (US$) - adjusted,Volume purchased from rural producers (lb),Average local price per pound at farmgate  (US$),Average price per pound paid by enterprise to rural producers (US$),Fair Trade certification? (Y/N),Utz Kapeh certification? (Y/N),Total acreage under cultivation (1 hectare = 2.4711 acres) - adjusted,Total acreage under organic cultivation,Total number of farmers certified organic,Total carbon sequestered (lbs),Purchases/Suppliers,Acreage/Suppliers,price/farmgate price
0,2008,1,2,1983,Coffee,917,917,4.52,1406051,1406051,736000,153751,922316,822414,1348780,1262706,683700,0.82,100000,100000,836364,0,1222106,1222106,947400,0.9,1.29,1,0,4240.41,4240.41,917,15562295.89,1332.721919,4.624217666,1.433286421
0,2008,2,2,1997,Coffee,1017,1017,7.73,1093484,1093484,615900,45014,1114277,685473,1234907,1234907,615900,1,1100000,320000,480000,0,878236,878236,615900,0.94,1.43,1,0,1667.99,1667.99,1017,6121532.48,863.5555556,1.640110619,1.525068744
0,2008,3,1,2002,Coffee,1344,1344,1.51,336969,336969,163594.1,249673,326042,291575,291760,249081,132240,0.57,132000,132000,298208,1,168328,168328,163506.18,,1.03,1,0,1659,0,0,0,125.2440476,1.234375,
0,2008,1,2,2000,Coffee,2608,2608,4.52,4751958,4751958,1546900,188333,1171441,-349372,3533745,3198551,1296900,1,700000,238000,2700500,1,4154757,4154757,2683975,1,1.55,1,0,17184.03,11152.07,1593,40928112.68,1593.081672,6.588968328,1.547986475
0,2008,2,1,1998,Coffee,154,154,7.73,306663,306663,187500,89517,258814,241304,371250,371250,187500,1,200000,200000,200000,0,221031,221031,,1.05,,1,0,308.89,308.89,154,1133617.13,1435.266234,2.005762987,
0,2008,1,1,1999,Coffee,452,452,4.52,340922,340922,199700,158885,451686,220785,354870,283670,159700,1,120000,70000,140000,0,340922,340922,259400,0.93,1.31,1,0,1047.75,850.06,275,3119714.33,754.2522124,2.318023009,1.413195049
0,2008,1,1,1990,Coffee,213,213,4.52,130401,130401,80500,46929,51251,50617,130402,127304,76000,1,140000,130000,130000,0,100426,100426,143900,0.98,0.7,1,0,820.41,820.41,213,3010887.08,471.4835681,3.851667606,0.712130022
1,2008,0,1,2001,Coffee,181,181,11.71,1822369,1822369,1465200,1770,138679,20063,1816664,1739743,1339100,0.03,200000,105000,465000,0,1574160,1574160,,1.25,,1,0,3753.6,2246.23,123,8243663.73,8697.016575,20.73812652,
0,2008,3,1,2004,Coffee,1818,1818,1.51,389427,389427,293132,221508,419871,165216,332773,266773,171912,1,207000,152000,152000,0,308000,308000,,,,1,0,1235.55,0,0,0,169.4169417,0.679620462,
1,2008,3,2,1971,Coffee,2599,2599,1.42,1124371,1124371,795681.47,823151,1888829,1258291,976500,976500,795681.47,0,510000,441700,742600,1,936693,936693,,,,1,0,2058.43,,,0,360.4051558,0.792007041,
0,2008,2,1,1965,Coffee,160,160,7.73,238933,238933,116300,167820,277254,166747,236705,156000,75000,1,38000,38000,98133,1,207500,207500,128700,1.06,1.61,1,0,244.64,165.56,88,607618.78,1296.875,1.528993125,1.521015672
0,2008,3,3,2004,Coffee,480,480,1.51,179662,179662,121782.02,113699,128345,67603,177114,168553,108304.56,0,153800,153800,240195,0,92978,92978,131038.82,,0.71,0,0,580.71,0,0,0,193.7041667,1.209809375,
0,2008,0,1,1999,Coffee,930,930,11.71,3227158,3227158,2063008,456969,1237059,264128,3140245,3140245,2063008,0.89,300000,293000,1295000,0,2358232,2358232,11751200,1.15,0.2,1,0,19084.31,2822,,10356726.05,2535.733333,20.52075839,0.174504435
0,2008,1,1,1998,Coffee,313,313,4.52,650953,650953,349704,46256,521439,479319,640956.8,625041.8,336804,,120000,76000,197560,0,473548,473548,416300,1.14,1.14,1,0,1166.25,827.82,196,3038093.9,1512.932907,3.726038626,0.997821241
0,2008,0,1,1977,Coffee,487,487,11.71,3126902,3126902,1800800,559472,2116969,1270711,3143777,2922232,1671000,0.58,300000,300000,825000,1,2352508,2352508,961100,1.29,2.45,1,0,5305.45,2216.58,195,8134836.49,4830.61191,10.89415133,1.897460839
0,2008,0,3,1998,Coffee,785,785,11.71,2878323,2878323,2282500,404323,1178950,289748,3070696,2758846,1936000,0.3,1200000,1710000,2483594,1,2528800,2528800,2320000,1.2,1.09,1,1,4845.83,2565,300,9413556.61,3221.401274,6.173028153,0.908333333
0,2008,0,1,2000,Coffee,320,320,11.71,2626760,2626760,2061900,251673,347204,276097,2544603,2330602,1824500,0,400000,366600,977942,1,2373836,2373836,,1.35,,0,0,6326.02,2382.14,83,8742455.27,7418.2375,19.7688,
0,2008,2,2,1993,Coffee,2300,2300,6.03,7515887,7515887,5071000,1746503,4094246,2036432,7647222,6943717,4473200,,2350000,1643000,1643000,0,6367956,6367956,5314300,,1.2,1,0,10613.37,5189.31,1100,19044767.7,2768.676522,4.614510652,
0,2008,0,1,1971,Coffee,569,569,11.71,3381362,3381362,2285214,290632,1106833,292378,3572042.9,4906725.51,3037248,0.68,600000,588000,1713000,0,2972859,2972859,2881200,1.57,1.03,1,0,4865.6,3338.46,201,12252133.89,5224.70826,8.551135149,0.657205596
0,2008,0,7,1999,Coffee,,0,11.71,886413,886413,378800,657515,954467,209983,497861,497861,378800,0,187000,229800,229800,1,787379,787379,,,,0,0,,,,,,,
